862902619928506372 1 1 [-6.821615219116211, 6.564865589141846] 
892551658487631873 1 1 [-5.103623867034912, 4.772891521453857] 
853143461360480256 1 1 [-5.21535587310791, 4.950420379638672] 
918423568823840768 1 1 [-2.5872905254364014, 2.3547496795654297] 
731617467718610944 1 1 [-6.1654558181762695, 5.896339416503906] 
684633048483106816 1 1 [-5.6950883865356445, 5.3301849365234375] 
722492930016026624 1 1 [-8.37856674194336, 8.329092979431152] 
702345480924041217 1 1 [-4.009161949157715, 3.8599748611450195] 
859056671179636737 1 1 [-1.3914802074432373, 1.094312071800232] 
923929354610053120 1 1 [-8.134940147399902, 8.170310974121094] 
919651889511313408 1 1 [-8.421339988708496, 8.36740779876709] 
877816574240972802 1 1 [-8.371246337890625, 8.318526268005371] 
806888630031622148 1 1 [-5.7897796630859375, 5.565491676330566] 
712810737811505153 0 1 [3.9033939838409424, -3.460261344909668] 
894741372527411200 1 1 [-8.034353256225586, 7.947433948516846] 
732682873166159872 1 1 [-7.830458641052246, 7.864786624908447] 
722871462915235842 1 1 [-4.703149318695068, 4.45600700378418] 
839086335096942592 1 1 [-0.21963728964328766, 0.2831948697566986] 
802576734117691392 1 1 [-0.9012708067893982, 0.8057606816291809] 
726980104090456065 1 1 [-8.501811981201172, 8.46556568145752] 
939714200456318981 1 1 [-5.592586040496826, 5.187368392944336] 
884901385141190657 1 1 [-6.4034423828125, 6.1863789558410645] 
824024594755518464 1 1 [-4.407877445220947, 4.3564534187316895] 
895860997054799872 1 1 [-5.672343730926514, 5.250283241271973] 
924449074568400896 1 1 [-1.8119031190872192, 1.7304531335830688] 
840225661117706240 1 1 [-2.13002347946167, 2.07155442237854] 
821997332346437632 1 1 [-2.319061279296875, 2.1556081771850586] 
863886502698156032 1 1 [-8.140090942382812, 8.115574836730957] 
736082451424890881 0 1 [2.5871660709381104, -2.1440672874450684] 
821870486372155393 1 1 [-6.453744888305664, 6.129897117614746] 
914153415105753092 1 1 [-8.204782485961914, 8.202375411987305] 
712023362784989184 1 1 [-7.073349475860596, 6.811543941497803] 
890941969404383232 1 1 [-4.027767181396484, 3.7965400218963623] 
920605091429797889 1 1 [-5.798764228820801, 5.449142932891846] 
829756733916585984 1 1 [-8.081408500671387, 7.96760368347168] 
755115255114629124 1 1 [-5.246641159057617, 4.8319091796875] 
871437724158480385 1 1 [-6.173468112945557, 6.023074150085449] 
900709797233864704 1 1 [-6.900232791900635, 6.724332332611084] 
