862902619928506372 1 1 [-0.2791510820388794, 0.7081465721130371] 
892551658487631873 0 1 [1.1947033405303955, -0.579426109790802] 
853143461360480256 1 1 [-3.4499385356903076, 3.5596561431884766] 
918423568823840768 1 1 [0.6153937578201294, 1.325011134147644] 
731617467718610944 1 1 [-2.1012020111083984, 1.916712999343872] 
684633048483106816 1 1 [-3.348355531692505, 4.10660457611084] 
722492930016026624 1 1 [-0.3853132128715515, -0.14176717400550842] 
702345480924041217 1 1 [-0.7908150553703308, 1.3099730014801025] 
859056671179636737 1 1 [-2.18852162361145, 1.4229116439819336] 
923929354610053120 0 1 [0.6216347217559814, -0.5335445404052734] 
919651889511313408 0 1 [0.7825670838356018, -0.5812474489212036] 
877816574240972802 1 1 [-0.5257976055145264, 1.088150143623352] 
806888630031622148 1 1 [-2.0237348079681396, 1.8608572483062744] 
712810737811505153 1 1 [-0.9318192005157471, 1.1662722826004028] 
894741372527411200 1 1 [0.5007920265197754, 0.6726602911949158] 
732682873166159872 1 1 [-0.161123588681221, 1.5486637353897095] 
722871462915235842 1 1 [-0.30324405431747437, -0.24664592742919922] 
839086335096942592 1 1 [-0.4433152675628662, 1.653049111366272] 
802576734117691392 1 1 [-0.11760479211807251, 0.7313732504844666] 
726980104090456065 1 1 [0.06644301116466522, 0.46423256397247314] 
939714200456318981 1 1 [-0.8927822113037109, 2.1075520515441895] 
884901385141190657 1 1 [-2.109379768371582, 1.6417239904403687] 
824024594755518464 0 1 [0.8879314064979553, -0.18459253013134003] 
895860997054799872 0 1 [0.9936398267745972, -1.4690300226211548] 
924449074568400896 1 1 [-0.17417186498641968, 1.2619976997375488] 
840225661117706240 0 1 [0.826448380947113, 0.3568447530269623] 
821997332346437632 0 1 [1.4095531702041626, -1.0388129949569702] 
863886502698156032 1 1 [-1.5199910402297974, 2.3618369102478027] 
736082451424890881 1 1 [-1.1257721185684204, 1.9367811679840088] 
821870486372155393 1 1 [-0.5749490261077881, 1.045169711112976] 
914153415105753092 0 1 [1.1343045234680176, -1.9988105297088623] 
712023362784989184 1 1 [-0.5783056616783142, 1.4704762697219849] 
890941969404383232 1 1 [0.2899390161037445, 1.2908331155776978] 
920605091429797889 0 1 [1.4148030281066895, -1.6285302639007568] 
